num_sylls,combo_no,syll_no,note_vals,add_length,bar_start,bar_end
4,4-1,1,0.5,"",|#,""
4,4-1,2,0.5,"","",""
4,4-1,3,0.5,"","",""
4,4-1,4,0.5,"","",|
4,4-21,1,1.5,..,|#,""
4,4-21,2,0.5,"","",|
4,4-21,3,1.5,..,"",""
4,4-21,4,0.5,"","",|
4,4-23,1,1,.,|#,""
4,4-23,2,1,.,"",|
4,4-23,3,1.5,..,"",""
4,4-23,4,0.5,"","",|
4,4-25,1,0.5,"",|#,""
4,4-25,2,1.5,..,"",|
4,4-25,3,1.5,..,"",""
4,4-25,4,0.5,"","",|
4,4-39,1,1.5,..,|#,""
4,4-39,2,0.5,"","",|
4,4-39,3,1,.,"",""
4,4-39,4,1,.,"",|
4,4-41,1,1,.,|#,""
4,4-41,2,1,.,"",|
4,4-41,3,1,.,"",""
4,4-41,4,1,.,"",|
4,4-43,1,0.5,"",|#,""
4,4-43,2,1.5,..,"",|
4,4-43,3,1,.,"",""
4,4-43,4,1,.,"",|
4,4-57,1,1.5,..,|#,""
4,4-57,2,0.5,"","",|
4,4-57,3,0.5,"","",""
4,4-57,4,1.5,..,"",|
4,4-59,1,1,.,|#,""
4,4-59,2,1,.,"",|
4,4-59,3,0.5,"","",""
4,4-59,4,1.5,..,"",|
4,4-61,1,0.5,"",|#,""
4,4-61,2,1.5,..,"",|
4,4-61,3,0.5,"","",""
4,4-61,4,1.5,..,"",|
5,5-12,1,1.5,..,|#,""
5,5-12,2,0.5,"","",|
5,5-12,3,1,.,"",""
5,5-12,4,0.5,"","",""
5,5-12,5,0.5,"","",|
5,5-14,1,1,.,|#,""
5,5-14,2,1,.,"",|
5,5-14,3,1,.,"",""
5,5-14,4,0.5,"","",""
5,5-14,5,0.5,"","",|
5,5-16,1,0.5,"",|#,""
5,5-16,2,1.5,..,"",|
5,5-16,3,1,.,"",""
5,5-16,4,0.5,"","",""
5,5-16,5,0.5,"","",|
5,5-30,1,1.5,..,|#,""
5,5-30,2,0.5,"","",|
5,5-30,3,0.5,"","",""
5,5-30,4,1,.,"",""
5,5-30,5,0.5,"","",|
5,5-32,1,1,.,|#,""
5,5-32,2,1,.,"",|
5,5-32,3,0.5,"","",""
5,5-32,4,1,.,"",""
5,5-32,5,0.5,"","",|
5,5-34,1,0.5,"",|#,""
5,5-34,2,1.5,..,"",|
5,5-34,3,0.5,"","",""
5,5-34,4,1,.,"",""
5,5-34,5,0.5,"","",|
5,5-56,1,1,.,|#,""
5,5-56,2,0.5,"","",""
5,5-56,3,0.5,"","",|
5,5-56,4,1.5,..,"",""
5,5-56,5,0.5,"","",|
5,5-58,1,0.5,"",|#,""
5,5-58,2,1,.,"",""
5,5-58,3,0.5,"","",|
5,5-58,4,1.5,..,"",""
5,5-58,5,0.5,"","",|
5,5-64,1,0.5,"",|#,""
5,5-64,2,0.5,"","",""
5,5-64,3,1,.,"",|
5,5-64,4,1.5,..,"",""
5,5-64,5,0.5,"","",|
5,5-84,1,1.5,..,|#,""
5,5-84,2,0.5,"","",|
5,5-84,3,0.5,"","",""
5,5-84,4,0.5,"","",""
5,5-84,5,1,.,"",|
5,5-86,1,1,.,|#,""
5,5-86,2,1,.,"",|
5,5-86,3,0.5,"","",""
5,5-86,4,0.5,"","",""
5,5-86,5,1,.,"",|
5,5-88,1,0.5,"",|#,""
5,5-88,2,1.5,..,"",|
5,5-88,3,0.5,"","",""
5,5-88,4,0.5,"","",""
5,5-88,5,1,.,"",|
5,5-110,1,1,.,|#,""
5,5-110,2,0.5,"","",""
5,5-110,3,0.5,"","",|
5,5-110,4,1,.,"",""
5,5-110,5,1,.,"",|
5,5-112,1,0.5,"",|#,""
5,5-112,2,1,.,"",""
5,5-112,3,0.5,"","",|
5,5-112,4,1,.,"",""
5,5-112,5,1,.,"",|
5,5-118,1,0.5,"",|#,""
5,5-118,2,0.5,"","",""
5,5-118,3,1,.,"",|
5,5-118,4,1,.,"",""
5,5-118,5,1,.,"",|
5,5-164,1,1,.,|#,""
5,5-164,2,0.5,"","",""
5,5-164,3,0.5,"","",|
5,5-164,4,0.5,"","",""
5,5-164,5,1.5,..,"",|
5,5-166,1,0.5,"",|#,""
5,5-166,2,1,.,"",""
5,5-166,3,0.5,"","",|
5,5-166,4,0.5,"","",""
5,5-166,5,1.5,..,"",|
5,5-172,1,0.5,"",|#,""
5,5-172,2,0.5,"","",""
5,5-172,3,1,.,"",|
5,5-172,4,0.5,"","",""
5,5-172,5,1.5,..,"",|
6,6-3,1,1.5,..,|#,""
6,6-3,2,0.5,"","",|
6,6-3,3,0.5,"","",""
6,6-3,4,0.5,"","",""
6,6-3,5,0.5,"","",""
6,6-3,6,0.5,"","",|
6,6-5,1,1,.,|#,""
6,6-5,2,1,.,"",|
6,6-5,3,0.5,"","",""
6,6-5,4,0.5,"","",""
6,6-5,5,0.5,"","",""
6,6-5,6,0.5,"","",|
6,6-7,1,0.5,"",|#,""
6,6-7,2,1.5,..,"",|
6,6-7,3,0.5,"","",""
6,6-7,4,0.5,"","",""
6,6-7,5,0.5,"","",""
6,6-7,6,0.5,"","",|
6,6-29,1,1,.,|#,""
6,6-29,2,0.5,"","",""
6,6-29,3,0.5,"","",|
6,6-29,4,1,.,"",""
6,6-29,5,0.5,"","",""
6,6-29,6,0.5,"","",|
6,6-31,1,0.5,"",|#,""
6,6-31,2,1,.,"",""
6,6-31,3,0.5,"","",|
6,6-31,4,1,.,"",""
6,6-31,5,0.5,"","",""
6,6-31,6,0.5,"","",|
6,6-37,1,0.5,"",|#,""
6,6-37,2,0.5,"","",""
6,6-37,3,1,.,"",|
6,6-37,4,1,.,"",""
6,6-37,5,0.5,"","",""
6,6-37,6,0.5,"","",|
6,6-83,1,1,.,|#,""
6,6-83,2,0.5,"","",""
6,6-83,3,0.5,"","",|
6,6-83,4,0.5,"","",""
6,6-83,5,1,.,"",""
6,6-83,6,0.5,"","",|
6,6-85,1,0.5,"",|#,""
6,6-85,2,1,.,"",""
6,6-85,3,0.5,"","",|
6,6-85,4,0.5,"","",""
6,6-85,5,1,.,"",""
6,6-85,6,0.5,"","",|
6,6-91,1,0.5,"",|#,""
6,6-91,2,0.5,"","",""
6,6-91,3,1,.,"",|
6,6-91,4,0.5,"","",""
6,6-91,5,1,.,"",""
6,6-91,6,0.5,"","",|
6,6-163,1,0.5,"",|#,""
6,6-163,2,0.5,"","",""
6,6-163,3,0.5,"","",""
6,6-163,4,0.5,"","",|
6,6-163,5,1.5,..,"",""
6,6-163,6,0.5,"","",|
6,6-183,1,1.5,..,|#,""
6,6-183,2,0.5,"","",|
6,6-183,3,1.5,..,"",""
6,6-183,4,0.5,"","",|
6,6-183,5,1.5,..,"",""
6,6-183,6,0.5,"","",|
6,6-185,1,1,.,|#,""
6,6-185,2,1,.,"",|
6,6-185,3,1.5,..,"",""
6,6-185,4,0.5,"","",|
6,6-185,5,1.5,..,"",""
6,6-185,6,0.5,"","",|
6,6-187,1,0.5,"",|#,""
6,6-187,2,1.5,..,"",|
6,6-187,3,1.5,..,"",""
6,6-187,4,0.5,"","",|
6,6-187,5,1.5,..,"",""
6,6-187,6,0.5,"","",|
6,6-201,1,1.5,..,|#,""
6,6-201,2,0.5,"","",|
6,6-201,3,1,.,"",""
6,6-201,4,1,.,"",|
6,6-201,5,1.5,..,"",""
6,6-201,6,0.5,"","",|
6,6-203,1,1,.,|#,""
6,6-203,2,1,.,"",|
6,6-203,3,1,.,"",""
6,6-203,4,1,.,"",|
6,6-203,5,1.5,..,"",""
6,6-203,6,0.5,"","",|
6,6-205,1,0.5,"",|#,""
6,6-205,2,1.5,..,"",|
6,6-205,3,1,.,"",""
6,6-205,4,1,.,"",|
6,6-205,5,1.5,..,"",""
6,6-205,6,0.5,"","",|
6,6-219,1,1.5,..,|#,""
6,6-219,2,0.5,"","",|
6,6-219,3,0.5,"","",""
6,6-219,4,1.5,..,"",|
6,6-219,5,1.5,..,"",""
6,6-219,6,0.5,"","",|
6,6-221,1,1,.,|#,""
6,6-221,2,1,.,"",|
6,6-221,3,0.5,"","",""
6,6-221,4,1.5,..,"",|
6,6-221,5,1.5,..,"",""
6,6-221,6,0.5,"","",|
6,6-223,1,0.5,"",|#,""
6,6-223,2,1.5,..,"",|
6,6-223,3,0.5,"","",""
6,6-223,4,1.5,..,"",|
6,6-223,5,1.5,..,"",""
6,6-223,6,0.5,"","",|
6,6-245,1,1,.,|#,""
6,6-245,2,0.5,"","",""
6,6-245,3,0.5,"","",|
6,6-245,4,0.5,"","",""
6,6-245,5,0.5,"","",""
6,6-245,6,1,.,"",|
6,6-247,1,0.5,"",|#,""
6,6-247,2,1,.,"",""
6,6-247,3,0.5,"","",|
6,6-247,4,0.5,"","",""
6,6-247,5,0.5,"","",""
6,6-247,6,1,.,"",|
6,6-253,1,0.5,"",|#,""
6,6-253,2,0.5,"","",""
6,6-253,3,1,.,"",|
6,6-253,4,0.5,"","",""
6,6-253,5,0.5,"","",""
6,6-253,6,1,.,"",|
6,6-325,1,0.5,"",|#,""
6,6-325,2,0.5,"","",""
6,6-325,3,0.5,"","",""
6,6-325,4,0.5,"","",|
6,6-325,5,1,.,"",""
6,6-325,6,1,.,"",|
6,6-345,1,1.5,..,|#,""
6,6-345,2,0.5,"","",|
6,6-345,3,1.5,..,"",""
6,6-345,4,0.5,"","",|
6,6-345,5,1,.,"",""
6,6-345,6,1,.,"",|
6,6-347,1,1,.,|#,""
6,6-347,2,1,.,"",|
6,6-347,3,1.5,..,"",""
6,6-347,4,0.5,"","",|
6,6-347,5,1,.,"",""
6,6-347,6,1,.,"",|
6,6-349,1,0.5,"",|#,""
6,6-349,2,1.5,..,"",|
6,6-349,3,1.5,..,"",""
6,6-349,4,0.5,"","",|
6,6-349,5,1,.,"",""
